"nsamp","SRS_means","SRS_SE","Grid_means","Grid_SE","CLHS_means","CLHS_SE","kmn_means","kmn_SE","k_area_means","k_area_SE","k_bias_means","k_bias_SE","k_even_means","k_even_SE","k_neyman_means","k_neyman_SE","p_even","p_even_SE","p_bias_means","p_bias_SE","p_even_means","p_even_SE","p_neyman_means","p_neyman_SE"
17,1.94277684313725,0.128016634102826,1.96703281585704,0.140599501448385,1.96890602941176,0.143163970156839,1.99604820833333,0.153580673822714,1.98117412990196,0.151474559093863,1.98036721323529,0.143993914958502,1.98436192307692,0.129147831562582,1.99345435672515,0.144766075368963,1.99147547794118,0.156912220297526,2.00354886029412,0.157032707700964,1.96070159340659,0.129529543530978,1.97396325421397,0.152660538843335
18,1.97918035702614,0.138016978745027,2.024069249398,0.169859176131068,1.98459858660131,0.149976116616822,1.96878654239766,0.142804900206857,1.96380430168559,0.144068371874796,1.97392594035948,0.135047733972428,1.95368477777778,0.137176747591346,1.98800264361885,0.155775512078059,1.97381632266942,0.151606753689251,1.96262470179739,0.143009376098088,1.97981970936533,0.127537995536323,1.97600574303406,0.137360201696099
19,1.96865264361885,0.136888100579215,1.99237225664021,0.14934458768066,1.96030370141039,0.131430815523265,1.96429663450292,0.129028812322031,1.98107563639491,0.133510974698906,1.96825685242518,0.128769200941792,1.99038366374269,0.130530032546965,1.97974557275542,0.140282838440005,1.97825538871689,0.131441683918813,1.95011777605779,0.131119462993225,1.98829787719298,0.126611677338999,1.99613230306158,0.150450295330202
20,1.9814991754386,0.138039035292502,1.97769824138781,0.141429163552107,1.99032501169591,0.142214157017118,1.97739971052632,0.139435887400589,1.96310466917293,0.124573375680415,2.00652934210526,0.131829932775596,1.97956660096319,0.122188568807853,1.9632310877193,0.126653823974866,1.98413009899749,0.139562870201062,1.94867973391813,0.130684969814384,1.94866173976608,0.126513485328672,1.98914191353383,0.127764592945301
21,1.95860406725146,0.125939620362681,1.97800757567007,0.135636025920268,1.95392160526316,0.130861606627895,1.98916400250627,0.13398702416539,1.9543005802005,0.12292217571253,1.96421035156519,0.125674528542028,1.96676880736154,0.122793678563367,1.97944363852814,0.124992249355965,1.99334230325815,0.140368826837515,1.96130446115288,0.127954758201711,1.97333105710354,0.126902913813121,1.96124248917749,0.126571497417954
22,1.98748385064935,0.140001352601003,1.98677234548575,0.13172463347646,1.96242746753247,0.126211225002027,1.94207078674948,0.115476638250084,1.97396636382458,0.134022759149404,1.94699141660971,0.115100096473249,1.94118464740282,0.111419327968311,1.92769027922078,0.102260546360217,1.97230796536797,0.128661873902283,1.99263806197311,0.128731626762389,1.97419225438596,0.121781934056196,1.97066751241741,0.126582211367935
23,1.97257312723508,0.123049468745693,1.98504420810204,0.148898759666968,1.99514228891398,0.129519693261768,1.99056748889516,0.123164976092495,1.9866043854696,0.14521818073655,2.01171741765481,0.132975586434242,1.97810033354037,0.113561188327667,1.94949687088274,0.112921250517543,1.9939112634105,0.131163469371956,1.96900631658197,0.12335380923336,1.98667938880105,0.121549346479374,1.96879445111048,0.121199137698686
24,1.96651739459816,0.117975448331983,1.99268750021058,0.128524069587303,1.97750672101449,0.129770669780286,1.95682436641257,0.115133410840363,1.97347498695652,0.122275642158668,1.98128610671937,0.125620159708728,1.97947023833992,0.126193187266376,1.96832869782609,0.122106189209054,1.96723182536232,0.121816349178019,1.96162077681159,0.104683995190755,1.98764894782609,0.123041538661409,1.95321139637681,0.110934741617086
25,1.98150446521739,0.124514213264328,1.98442367690731,0.126552987849696,1.97019628913043,0.122420597910244,1.98145292101449,0.126150749942755,1.97465386282051,0.125480926324735,1.97164495144928,0.12509451519807,1.95912479202899,0.112144560117001,1.957052237068,0.11498969811065,1.96112007692308,0.123154593828998,1.98099218188406,0.122694909133786,1.97486889756258,0.107703898128851,1.98893247948718,0.122465664094187
26,1.99087841153846,0.129168339278672,1.9784595455197,0.123392238366814,1.95453236282051,0.114620837086685,1.97467390897436,0.127099742516473,1.97553532051282,0.124734332161009,1.9706855798419,0.122657068535149,1.98094224565217,0.11737840742548,1.95945343532764,0.111023014636353,1.96839896923077,0.114013564398516,2.00062390384615,0.132982312510893,1.96574042496706,0.107292314581075,1.97226350826211,0.119112825494582
